NOTICE: pid::13616 2016-10-23 14:19:17     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203557707301,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13616 2016-10-23 14:19:19     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203559345281,  type: 'pv',  method: 'GET',  url: '/less/page/app.less',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:19:31     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:96:7) UI Server已经启动：http://127.0.0.1:8000
NOTICE: pid::13176 2016-10-23 14:19:31     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203571863040,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:20:12     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203612352014,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:20:16     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203616933620,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:20:33     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203633651166,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:22:05     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203725903886,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:23:22     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203802733584,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:23:28     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203808145714,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:23:29     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203809411762,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:23:29     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203809486518,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:24:54     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203894065052,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:24:57     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203897706414,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:24:57     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203897812692,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:24:58     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203898833178,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:25:05     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477203905580344,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:27:39     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204059600464,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:27:43     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204063407048,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:27:43     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204063515943,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:30:25     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204225310512,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:33:06     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204386988003,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:33:50     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204430800089,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:34:16     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204456935809,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:35:16     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204516912201,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:35:16     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204516954282,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:35:29     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204529076574,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:35:51     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204551994691,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:36:26     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204586004487,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:36:41     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204601503547,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:37:52     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204672785342,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:40:19     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204819102207,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:40:50     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204850492719,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:41:27     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204887122224,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:41:49     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204909729904,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:41:52     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204912583364,  type: 'pv',  method: 'GET',  url: '/less/page/module-premium.less',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:42:06     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204926503843,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:42:28     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477204948240161,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:43:30     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205010378710,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:43:45     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205025213491,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:43:51     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205031333907,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:44:50     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205090719985,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:48:35     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205315948186,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:48:54     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205334055987,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
